sensor,phase,event,seq,active,reactive,current,voltage,frequency,hr0,hr1,hr2,hr3,hr4,hr5,hr6,hr7,hr8,tr0,tr1,tr2,tr3,tr4,tr5,tr6,tr7,tr8,tr9,draw,power,thd,shift,capture,lag
997.0,2,5.0,92503.0,0.8,0.8,0.005,241.4,50.039,57.8,60.7,204.0,151.6,61.9,195.6,148.0,72.8,52.3,-100.0,-91.7,-69.4,-43.8,-18.2,8.3,32.2,57.9,81.0,95.9,4556329.4,327.7,33.4,-26.9,971.0,20i 1732225201020295594 
997.0,0,5.0,92552.0,1.5,-0.8,0.007,236.0,49.941,26.6,82.2,121.9,92.5,94.9,84.1,61.8,12.3,52.4,45.3,46.8,64.0,72.7,87.1,100.0,-100.0,-87.1,-88.5,-84.2,12410653.1,288.5,56.5,58.5,972.0,22i 1732228259012921713 
997.0,1,5.0,92553.0,0.0,0.8,0.003,236.9,49.951,67.5,234.6,429.8,425.6,99.4,263.7,126.0,91.2,416.5,-25.7,-10.6,9.5,48.0,81.0,100.0,-93.9,-100.0,-97.8,-93.3,1095529.8,400.0,32.6,21.1,972.0,22i 1732228259012921713 
997.0,2,5.0,92554.0,0.0,0.8,0.004,240.0,49.951,16.9,43.0,80.2,58.6,27.3,154.9,52.2,43.0,87.4,-98.5,-100.0,-99.0,-86.9,-74.8,-75.8,100.0,72.4,39.5,7.0,4556605.5,327.7,31.3,-26.7,972.0,22i 1732228259012921713 
997.0,0,5.0,92555.0,1.5,-0.8,0.006,235.9,49.98,23.5,154.1,54.7,17.6,68.4,51.1,84.2,87.6,91.3,-100.0,48.4,56.8,68.4,89.5,100.0,98.9,88.4,69.5,60.0,12410667.5,286.9,56.8,58.6,971.0,22i 1732228439010009654 
997.0,1,5.0,92556.0,0.8,0.0,0.003,236.9,49.98,100.0,390.0,640.2,332.1,399.8,345.6,541.2,156.0,469.4,-100.0,45.5,51.2,67.5,90.2,100.0,99.2,93.5,77.2,61.0,1095549.8,400.8,32.2,21.1,971.0,22i 1732228439010009654 
997.0,2,5.0,92557.0,0.8,-0.8,0.004,239.8,49.98,46.6,102.5,173.7,87.2,111.7,210.0,267.2,58.9,41.7,-70.4,100.0,65.5,34.0,6.4,-24.1,-42.9,-51.7,-62.6,-75.4,4556621.9,326.9,31.0,-26.8,971.0,22i 1732228439010009654 
997.0,0,5.0,92558.0,1.5,-2.3,0.012,235.9,49.99,89.7,182.8,303.2,307.8,282.9,163.5,39.2,278.9,195.2,63.2,72.1,81.6,92.9,100.0,98.2,-100.0,-66.8,-26.4,11.0,12410681.9,288.5,56.8,58.3,971.0,22i 1732228619007007523 
997.0,1,5.0,92559.0,1.5,2.3,0.012,236.9,49.99,100.0,37.7,71.9,26.6,41.3,182.9,153.9,39.5,154.5,-100.0,-73.5,-31.9,15.1,65.7,100.0,3.0,-7.8,-21.1,-32.5,1095569.8,399.2,31.5,21.5,971.0,22i 1732228619007007523 
997.0,2,5.0,92560.0,0.8,0.8,0.004,239.9,49.99,38.9,131.7,67.3,224.1,140.1,171.4,107.9,199.9,207.7,-25.8,-45.7,-57.5,-68.3,-81.0,-100.0,62.9,84.6,100.0,99.1,4556638.3,327.7,31.4,-26.9,971.0,22i 1732228619007007523 
