timestamp,phase,active,reactive,current,freq,thd,voltage,hm0,hm1,hm2,hm3,hm4,hm5,hm6,hm7,hm8,anomaly
2025-02-16T11:47:09.925827,0.0,1.5,1.5,0.9,50.0,69.6,237.2,110.0,520.1,434.8,226.4,507.7,277.5,394.8,474.2,67.9,False
2025-02-16T11:47:10.031883,1.0,1.5,-1.5,0.8,50.0,30.7,239.1,41.1,73.1,20.6,57.5,104.4,55.6,111.8,54.2,153.4,False
2025-02-16T11:47:10.128396,2.0,1.5,-2.3,1.2,49.99,35.8,240.8,99.1,87.9,172.4,153.5,128.2,246.8,244.2,137.6,312.7,False
2025-02-16T11:50:09.928056,0.0,2.3,-1.5,1.0,50.01,70.1,237.0,73.6,152.1,94.3,168.6,202.3,84.0,197.4,108.5,89.1,False
2025-02-16T11:50:10.087647,1.0,0.8,0.0,0.3,50.02,33.6,239.1,18.8,38.9,32.0,15.6,61.9,17.1,35.4,30.1,48.2,False
2025-02-16T11:50:10.242440,2.0,0.8,2.3,1.0,50.0,37.8,240.9,65.2,36.2,46.6,114.0,80.7,41.5,83.5,135.6,103.8,False
2025-02-16T11:53:09.928169,0.0,1.5,1.5,1.0,50.0,68.9,236.9,53.6,126.7,125.3,242.4,221.3,46.7,86.6,69.5,176.9,False
2025-02-16T11:53:10.038896,1.0,0.0,-1.5,0.5,49.99,30.6,238.9,22.0,54.0,45.5,57.8,54.7,31.0,53.0,33.2,22.1,False
2025-02-16T11:53:10.145658,2.0,0.8,1.5,0.8,50.0,35.8,240.5,53.8,46.0,51.0,120.6,79.1,172.7,63.5,83.0,236.4,False
2025-02-16T11:56:09.929833,0.0,0.8,-2.3,0.8,50.0,69.3,235.8,108.1,254.6,379.8,315.0,101.9,128.0,403.5,101.3,512.8,False
2025-02-16T11:56:10.073840,1.0,0.0,-3.0,0.7,50.01,32.3,237.8,44.4,28.6,79.7,89.7,101.6,92.9,239.1,72.6,94.7,False
2025-02-16T11:56:10.179237,2.0,1.5,-3.8,1.1,49.99,37.0,239.4,69.4,74.3,120.0,139.4,72.1,177.3,223.9,106.8,207.2,False
2025-02-16T11:59:09.929780,0.0,0.8,-3.8,1.3,49.99,69.1,235.2,77.8,236.7,190.5,154.3,133.7,69.0,242.0,183.7,127.6,False
2025-02-16T11:59:10.037781,1.0,2.3,-2.3,1.0,49.99,31.2,237.0,91.2,112.5,96.3,101.3,197.2,142.0,240.9,164.8,142.0,False
2025-02-16T11:59:10.147923,2.0,1.5,-0.8,1.0,50.0,35.9,238.7,59.0,50.2,50.4,142.9,101.0,53.1,264.6,116.7,183.5,False
2025-02-16T12:02:09.934883,0.0,1.5,-1.5,0.9,50.02,70.0,235.5,42.6,21.8,72.1,62.3,73.2,38.7,172.9,126.9,158.6,False
2025-02-16T12:02:10.061037,1.0,2.3,-0.8,0.9,50.03,33.9,237.5,43.0,25.2,43.7,76.2,42.1,83.2,150.1,66.2,68.2,False
2025-02-16T12:02:10.166251,2.0,1.5,1.5,1.0,50.02,37.7,239.1,48.3,34.7,24.7,85.1,66.9,66.1,181.8,70.5,104.6,False
2025-02-16T12:05:09.932630,0.0,3.0,-2.3,0.9,50.02,68.7,236.6,39.0,29.9,152.4,115.4,68.0,61.7,112.0,71.7,106.9,False
